Num,Topic,LCS,SGS,NVS,LCV,LCV_Value,SCS,CRS,HRS,HRS_Desc
1,ХВС,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
2,Отопление,1,Средняя,2,Низкая,0.50,4,Средняя,Да,(ошибка)
3,Электроснабжение,1,Низкая,2,Низкая,0.40,4,Низкая,Да,(серьезная ошибка релевантности)
4,Капитальный ремонт,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
5,Мусоропровод,1,Средняя,1,Средняя,0.60,3,Средняя,Да,(ошибка релевантности)
6,Вентиляция,1,Низкая,1,Низкая,0.40,2,Низкая,Да,(ошибка релевантности)
7,Горячее водоснабжение,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
8,Крыша и потолки,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
9,Лифт,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
10,Пожарная безопасность,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
11,Фасад и остекление,1,Низкая,2,Низкая,0.50,4,Средняя,Нет,
12,Подвал и сырость,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
13,Шум от инженерного оборудования,2,Средняя,2,Средняя,0.70,4,Высокая,Нет,
14,Общедомовые приборы учета (ОДПУ),2,Высокая,2,Высокая,0.90,6,Высокая,Нет,
15,Обеспечение давления,2,Высокая,2,Высокая,0.85,6,Высокая,Нет,
16,Подъезд и травма,2,Высокая,2,Высокая,0.80,6,Высокая,Нет,
17,Крыша и протечки,2,Высокая,2,Высокая,0.85,6,Высокая,Нет,
18,Лифт,1,Низкая,2,Низкая,0.40,4,Низкая,Да,(нерелевантная практика)
19,Парковка во дворе,2,Высокая,2,Высокая,0.80,6,Высокая,Нет,
20,Детская площадка,2,Высокая,2,Высокая,0.85,6,Высокая,Нет,
21,Затопление подвала и порча имущества,2,Высокая,2,Высокая,0.80,6,Высокая,Нет,
22,Падение из-за гололеда на тротуаре,1,Низкая,2,Низкая,0.30,3,Низкая,Да,(нерелевантное законодательство)
23,Пожарные выходы и безопасность,2,Низкая,2,Средняя,0.60,5,Высокая,Нет,
24,Неисправное освещение и нападение,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
25,Повреждение автомобиля упавшим деревом,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
26,Заражение паразитами из мусоропровода,2,Высокая,2,Высокая,0.90,5,Высокая,Нет,
27,Травма в лифте из-за резкого закрытия дверей,1,Средняя,2,Низкая,0.50,4,Средняя,Нет,
28,Падение из-за разрушенного крыльца/площадки,1,Низкая,2,Низкая,0.40,4,Низкая,Нет,
29,Химический ожог от реагентов,1,Средняя,2,Средняя,0.60,4,Средняя,Нет,
30,Систематический шум от инженерного оборудования,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
31,Пожар и эвакуация,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
32,Затопление с верхнего этажа,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
33,Утечка газа,1,Низкая,2,Низкая,0.40,4,Низкая,Нет,
34,Несанкционированная перепланировка соседей,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
35,Утрата имущества из-за доступа в подвал,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
36,Обледенение и падение,2,Высокая,2,Высокая,0.90,5,Высокая,Нет,
37,Обрушение потолка в подъезде,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
38,Химическая обработка без предупреждения,1,Средняя,2,Средняя,0.55,4,Средняя,Нет,
39,Повреждение автомобиля во дворе,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
40,Затопление архива документов,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
41,Некачественный ремонт фасада,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
42,Повреждение имущества при отключении воды,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
43,Травма из-за неисправного лифта,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
44,Уничтожение имущества при чистке вентиляции,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
45,Пожар из-за захламленного чердака,2,Средняя,2,Средняя,0.65,4,Средняя,Да,(ошибка релевантности)
46,Шум от инженерного оборудования,2,Низкая,2,Низкая,0.50,3,Низкая,Нет,
47,Химическая обработка (дезинсекция),1,Низкая,2,Низкая,0.45,3,Низкая,Да,(нерелевантные источники)
48,Повреждение автомобиля на платной парковке УК,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
49,Ущерб из-за неправильного отключения воды,1,Низкая,2,Низкая,0.40,3,Низкая,Да,(некорректные ссылки)
