Num,Topic,LCS,SGS,NVS,LCV,SCS,CRS,HRS,Q
1,ХВС,2,2,2,2,2,2,1,0.95
2,Отопление,1,1,2,0,1,1,0,0.4
3,Электроснабжение,1,0,2,0,1,0,0,0.275
4,Капитальный ремонт,2,2,2,2,2,2,1,0.95
5,Мусоропровод,1,1,1,1,1,1,0,0.425
6,Вентиляция,1,0,1,0,0,0,0,0.175
7,Горячее водоснабжение,2,2,2,2,2,2,1,0.95
8,Крыша и потолки,2,2,2,2,2,2,1,0.95
9,Лифт,2,2,2,2,2,2,1,0.95
10,Пожарная безопасность,2,2,2,2,2,2,1,0.95
11,Фасад и остекление,1,0,2,0,1,1,1,0.425
12,Подвал и сырость,2,2,2,2,2,2,1,0.95
13,Шум от инженерного оборудования,2,1,2,1,1,2,1,0.75
14,Общедомовые приборы учета (ОДПУ),2,2,2,2,2,2,1,0.95
15,Обеспечение давления,2,2,2,2,2,2,1,0.95
16,Подъезд и травма,2,2,2,2,2,2,1,0.95
17,Крыша и протечки,2,2,2,2,2,2,1,0.95
18,Лифт,1,0,2,0,1,0,0,0.275
19,Парковка во дворе,2,2,2,2,2,2,1,0.95
20,Детская площадка,2,2,2,2,2,2,1,0.95
21,Затопление подвала и порча имущества,2,2,2,2,2,2,1,0.95
22,Падение из-за гололеда на тротуаре,1,0,2,0,1,0,0,0.275
23,Пожарные выходы и безопасность,2,0,2,1,2,2,1,0.725
24,Неисправное освещение и нападение,2,2,2,2,2,2,1,0.95
25,Повреждение автомобиля упавшим деревом,2,2,2,2,2,2,1,0.95
26,Заражение паразитами из мусоропровода,2,2,2,2,2,2,1,0.95
27,Травма в лифте из-за резкого закрытия дверей,1,1,2,0,1,1,1,0.5
28,Падение из-за разрушенного крыльца/площадки,1,0,2,0,1,0,1,0.375
29,Химический ожог от реагентов,1,1,2,1,1,1,1,0.575
30,Систематический шум от инженерного оборудования,2,2,2,2,2,2,1,0.95
31,Пожар и эвакуация,2,2,2,2,2,2,1,0.95
32,Затопление с верхнего этажа,2,2,2,2,2,2,1,0.95
33,Утечка газа,1,0,2,0,1,0,1,0.375
34,Несанкционированная перепланировка соседей,2,2,2,2,2,2,1,0.95
35,Утрата имущества из-за доступа в подвал,2,2,2,2,2,2,1,0.95
36,Обледенение и падение,2,2,2,2,2,2,1,0.95
37,Обрушение потолка в подъезде,2,2,2,2,2,2,1,0.95
38,Химическая обработка без предупреждения,1,1,2,1,1,1,1,0.575
39,Повреждение автомобиля во дворе,2,2,2,2,2,2,1,0.95
40,Затопление архива документов,2,2,2,2,2,2,1,0.95
41,Некачественный ремонт фасада,2,2,2,2,2,2,1,0.95
42,Повреждение имущества при отключении воды,2,2,2,2,2,2,1,0.95
43,Травма из-за неисправного лифта,2,2,2,2,2,2,1,0.95
44,Уничтожение имущества при чистке вентиляции,2,2,2,2,2,2,1,0.95
45,Пожар из-за захламленного чердака,2,1,2,1,1,1,0,0.6
46,Шум от инженерного оборудования,2,0,2,0,1,0,1,0.5
47,Химическая обработка (дезинсекция),1,0,2,0,1,0,0,0.275
48,Повреждение автомобиля на платной парковке УК,2,2,2,2,2,2,1,0.95
49,Ущерб из-за неправильного отключения воды,1,0,2,0,1,0,0,0.275
50,Утрата товарного вида квартиры из-за аварии у соседей,2,1,2,1,1,1,1,0.7
51,Слив химических реагентов с крыши,2,2,2,2,2,2,1,0.95
52,Отключение электричества для всего подъезда из-за долга одного собственника,1,1,2,0,1,0,0,0.35
53,Повреждение исторического интерьера в подъезде при монтаже оборудования,2,2,2,2,2,2,1,0.95
54,Несанкционированное размещение рекламы на фасаде,1,0,2,0,1,0,0,0.275
55,Ущерб из-за некорректной работы системы вентиляции после капремонта,2,1,2,1,1,1,1,0.7
56,Травма жильца из-за нарушения правил уборки территории,2,2,2,2,2,2,1,0.95
57,Утрата доступа к законно установленному кондиционеру,2,1,2,1,1,1,1,0.7
58,Порча имущества при «контрольном обходе» без присутствия собственника,1,0,2,0,1,0,0,0.275
59,Эмоциональный ущерб и затраты из-за системной некомпетентности,1,0,2,0,1,0,0,0.275
60,"Ущерб, причиненный привлеченным УК подрядчиком",2,2,2,2,2,2,1,0.95
61,Незаконное начисление долга,1,0,2,0,1,0,0,0.275
62,Нецелевое использование средств,2,1,2,1,1,1,1,0.7
63,Ущерб из-за отключения услуги за долг,1,0,2,0,1,0,0,0.275
64,Неправильный расчет пени,2,2,2,2,2,2,1,0.95
65,Утрата платежа,2,2,2,1,2,2,1,0.875
66,Затопление из-за прорыва общедомовой системы,2,2,2,2,2,2,1,0.95
